"date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"2023-01-01","Beijing","Beijing","Municipality","39.9042","116.4074","-2.4","-5.8","3.4","-2.1","0.00","0.00","14.1","7.71","79.871","119.171","88.346","6.667","166","102"
"2023-01-02","Beijing","Beijing","Municipality","39.9042","116.4074","-3.2","-6.0","2.6","-1.5","0.00","0.00","17.3","7.92","58.258","83.917","78.113","10.667","170","107"
"2023-01-03","Beijing","Beijing","Municipality","39.9042","116.4074","-4.0","-8.5","1.3","-3.6","0.00","0.00","11.2","7.65","91.508","132.008","111.292","4.167","172","109"
"2023-01-04","Beijing","Beijing","Municipality","39.9042","116.4074","-3.6","-8.0","3.3","-0.8","0.00","0.00","10.8","7.97","153.95","224.612","175.971","1.125","233","167"
"2023-01-05","Beijing","Beijing","Municipality","39.9042","116.4074","-2.8","-7.9","3.4","-0.8","0.00","0.00","10.4","8.02","190.396","274.912","198.404","6.833","260","188"
"2023-01-06","Beijing","Beijing","Municipality","39.9042","116.4074","-0.6","-7.4","8.1","3.0","0.00","0.00","18.6","8.20","127.208","187.129","130.517","9.25","292","214"
"2023-01-07","Beijing","Beijing","Municipality","39.9042","116.4074","-0.2","-4.7","5.3","1.3","0.00","0.00","13.0","6.62","106.442","156.179","119.738","3.958","202","142"
"2023-01-08","Beijing","Beijing","Municipality","39.9042","116.4074","1.7","-4.3","10.5","4.8","0.00","0.00","22.3","8.31","88.421","130.862","93.517","6.5","204","144"
"2023-01-09","Beijing","Beijing","Municipality","39.9042","116.4074","0.5","-3.6","5.9","1.6","0.00","0.00","15.8","8.17","60.212","86.338","77.788","5.333","174","111"
"2023-01-10","Beijing","Beijing","Municipality","39.9042","116.4074","-1.5","-4.9","4.9","0.3","0.00","0.00","12.5","8.21","106.858","153.9","122.388","0.958","184","123"
"2023-01-11","Beijing","Beijing","Municipality","39.9042","116.4074","-1.5","-5.6","4.2","0.2","0.00","0.00","9.3","6.76","193.45","277.638","195.987","2.792","265","192"
"2023-01-12","Beijing","Beijing","Municipality","39.9042","116.4074","0.7","-2.0","2.4","-1.7","2.90","1.60","14.3","1.05","174.637","251.742","107.292","0.583","273","199"
"2023-01-13","Beijing","Beijing","Municipality","39.9042","116.4074","2.0","-2.2","6.7","1.9","0.00","0.00","28.6","2.53","93.825","135.108","55.371","13.667","249","180"
"2023-01-14","Beijing","Beijing","Municipality","39.9042","116.4074","-4.8","-7.8","-2.0","-8.7","0.00","0.00","30.4","6.91","13.188","19.133","32.938","45.875","177","115"
"2023-01-15","Beijing","Beijing","Municipality","39.9042","116.4074","-6.3","-10.5","-0.7","-6.6","0.00","0.00","15.0","9.10","43.35","62.188","67.112","25.458","111","72"
"2023-01-16","Beijing","Beijing","Municipality","39.9042","116.4074","-5.4","-10.8","-0.5","-6.0","0.00","0.00","13.0","9.17","107.667","157.267","120.142","9.625","188","127"
"2023-01-17","Beijing","Beijing","Municipality","39.9042","116.4074","-2.9","-6.9","2.7","-3.4","0.00","0.00","17.6","8.98","61.583","99.738","67.833","14.958","187","126"
"2023-01-18","Beijing","Beijing","Municipality","39.9042","116.4074","-3.8","-7.6","2.8","-2.8","0.00","0.00","12.6","9.20","100.504","150.788","121.925","11.125","185","124"
"2023-01-19","Beijing","Beijing","Municipality","39.9042","116.4074","-2.7","-6.7","4.1","-2.8","0.00","0.00","34.4","9.15","49.329","80.454","54.933","25.458","182","120"
"2023-01-20","Beijing","Beijing","Municipality","39.9042","116.4074","-5.9","-9.1","-2.1","-8.3","0.00","0.00","19.3","9.63","24.15","37.133","43.883","33.667","135","79"
"2023-01-21","Beijing","Beijing","Municipality","39.9042","116.4074","-5.1","-10.2","0.6","-4.5","0.00","0.00","11.3","9.50","81.383","117.8","86.633","7.375","165","101"
"2023-01-22","Beijing","Beijing","Municipality","39.9042","116.4074","-3.5","-7.9","3.3","-1.4","0.00","0.00","13.4","9.22","122.721","184.242","110.896","8.125","204","144"
"2023-01-23","Beijing","Beijing","Municipality","39.9042","116.4074","-6.8","-14.2","-3.4","-8.2","0.80","0.00","30.7","9.21","25.867","40.288","31.371","42","198","138"
"2023-01-24","Beijing","Beijing","Municipality","39.9042","116.4074","-11.3","-14.8","-5.4","-10.6","0.00","0.00","26.3","10.05","25.308","36.212","37.571","46.083","82","61"
