"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"1","2023-01-01","Shanghai","Shanghai","Municipality",31.2304,121.4737,4.5,-0.2,7.8,4.6,0.9,0.9,10.3,3.75,140.875,212.788,127.238,1.292,230,164
"2","2023-01-02","Shanghai","Shanghai","Municipality",31.2304,121.4737,6,4.4,8.3,4.8,0.5,0.5,18,2.56,62.704,109.888,84.892,4.958,215,153
"3","2023-01-03","Shanghai","Shanghai","Municipality",31.2304,121.4737,5.2,1.7,8.9,4.9,0,0,12.9,11.91,35.896,59.762,67.367,10.667,155,90
"4","2023-01-04","Shanghai","Shanghai","Municipality",31.2304,121.4737,3.7,-3.1,9.7,5.9,0,0,14,11.92,84.854,136.767,98.004,12.958,170,107
"5","2023-01-05","Shanghai","Shanghai","Municipality",31.2304,121.4737,7.7,3.5,10.9,8.2,0.2,0.2,12.9,3.49,57.175,100.892,93.392,15.167,171,108
"6","2023-01-06","Shanghai","Shanghai","Municipality",31.2304,121.4737,8.7,4.6,14,9.1,0,0,21.2,12.2,88.483,134.842,123.846,7.125,172,109
"7","2023-01-07","Shanghai","Shanghai","Municipality",31.2304,121.4737,7,-0.2,15.2,12,0,0,13.5,12.85,102.908,153.696,119.913,7.958,187,126
"8","2023-01-08","Shanghai","Shanghai","Municipality",31.2304,121.4737,9.2,4.5,16.2,12.5,0,0,17.9,12.9,48.642,79.654,84.175,21.792,184,122
"9","2023-01-09","Shanghai","Shanghai","Municipality",31.2304,121.4737,9,4.4,15.6,13,0,0,22.3,12.54,73.55,113.358,116.117,10.208,164,100
"10","2023-01-10","Shanghai","Shanghai","Municipality",31.2304,121.4737,7.3,4,11.3,7.5,0,0,16.1,11.16,24.213,39.746,54.158,15.125,163,99
"11","2023-01-11","Shanghai","Shanghai","Municipality",31.2304,121.4737,9.5,3,16.2,14.2,0,0,17.5,10.75,24.363,38.471,61.558,16.792,85,62
"12","2023-01-12","Shanghai","Shanghai","Municipality",31.2304,121.4737,14.6,9.3,21.3,20.8,4.1,4.1,22.3,6.94,23.558,35.742,68.596,20.042,79,57
"13","2023-01-13","Shanghai","Shanghai","Municipality",31.2304,121.4737,15.1,11.5,17.4,19.2,43.9,43.9,15.1,1.4,55.738,79.85,98.646,0,150,84
"14","2023-01-14","Shanghai","Shanghai","Municipality",31.2304,121.4737,8.3,3.3,11.3,9.6,10.7,10.7,32.4,1.8,16.6,25.4,57.242,8.917,150,85
"15","2023-01-15","Shanghai","Shanghai","Municipality",31.2304,121.4737,0.6,-1.5,3.2,-2.5,1.5,0.2,32.1,3.17,16.621,27.062,42.742,29.542,64,33
"16","2023-01-16","Shanghai","Shanghai","Municipality",31.2304,121.4737,-0.2,-3.3,2.8,-2.7,0,0,22.9,11,36.25,54.179,55.3,11.917,99,68
"17","2023-01-17","Shanghai","Shanghai","Municipality",31.2304,121.4737,1.7,-2.3,5.5,0.8,0,0,13.1,13.27,68.512,101.017,78.833,8.417,158,94
"18","2023-01-18","Shanghai","Shanghai","Municipality",31.2304,121.4737,1.9,-3.2,7.5,3.1,0,0,14.1,13.46,94.417,137.508,90.283,9,175,113
"19","2023-01-19","Shanghai","Shanghai","Municipality",31.2304,121.4737,2.5,-3.4,9.3,5.2,0,0,10.1,13.71,169.388,247.896,138,8.292,244,176
"20","2023-01-20","Shanghai","Shanghai","Municipality",31.2304,121.4737,3.6,-0.4,9.3,4.5,0,0,19.3,12.19,69.85,110.429,71.775,12.375,244,176
"21","2023-01-21","Shanghai","Shanghai","Municipality",31.2304,121.4737,5.2,0.4,8.9,4.3,0.5,0.5,19.2,13.34,25.779,43.817,61.125,18.208,160,96
