"","X","sale_id","pinx","sale_date","sale_price","sale_nbr","sale_warning","join_status","join_year","latitude","longitude","area","city","zoning","subdivision","present_use","land_val","imp_val","year_built","year_reno","sqft_lot","sqft","sqft_1","sqft_fbsmt","grade","fbsmt_grade","condition","stories","beds","bath_full","bath_3qtr","bath_half","garb_sqft","gara_sqft","wfnt","golf","greenbelt","noise_traffic","view_rainier","view_olympics","view_cascades","view_territorial","view_skyline","view_sound","view_lakewash","view_lakesamm","view_otherwater","view_other","submarket"
"1",5383,"2022..360","..3856900200",2022-01-07,1475000,2,"   ","demo",1999,47.6719727171076,-122.32525782214,43,"SEATTLE","SF 5000","KILBOURNES DIV OF GREEN LAKE ADD",2,77000,66000,1913,0,3000,1780,1120,0,7,0,3,1.5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"B"
"2",5384,"2022..474","..3674400207",2022-01-07,590000,1,"   ","demo",1999,47.3355594340908,-122.308787581191,26,"FEDERAL WAY","RS7.2","JEANNETTE SOUNDVIEW TRS",2,45000,76000,1959,0,11250,1310,1120,0,7,0,3,1.5,4,1,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I"
"3",5385,"2022..492","..2610700045",2022-01-13,630000,5,"   ","demo",1999,47.743879858521,-122.325977129709,3,"SHORELINE","R6","FOSTER HOWE S NO. 02 ADD",2,65000,87000,1948,0,8154,1080,960,120,6,6,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A"
"4",5386,"2022..533","..5486200025",2022-01-13,480000,1,"   ","demo",1999,47.3065841420115,-122.214418089286,28,"AUBURN","R2","MERRITTS 2ND ADD TO AUBURN",2,42100,35000,1947,0,12358,760,760,0,5,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"L"
"5",5387,"2022..603","..7972603195",2022-01-13,650000,2,"   ","demo",1999,47.5259974671499,-122.349672506001,77,"SEATTLE","SF 5000","STATE ADD TO SEATTLE NO. 04",2,41000,53000,1943,0,6096,1330,1330,0,6,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"6",5388,"2022..873","..9528104795",2022-01-20,1345679,3," 10 ","demo",1999,47.6761166177619,-122.327067497369,43,"SEATTLE","SF 5000","WOODLAWN ADD TO GREEN LAKE",2,81000,98000,1944,0,5850,1180,1180,0,6,0,4,1,2,2,0,0,0,290,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"B"
"7",5389,"2022..926","..5652601225",2022-01-03,2099000,4,"   ","demo",1999,47.6960201144561,-122.300640556197,45,"SEATTLE","SF 7200","MORNINGSIDE HEIGHTS ADD",2,126000,22000,1921,1987,12855,850,850,0,6,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"8",5390,"2022..1307","..7327901525",2022-01-24,400000,1,"   ","demo",1999,47.5307558499049,-122.324078743567,78,"SEATTLE","IB U/45","RIVER PARK ADD",2,40000,7900,1920,0,5000,700,580,0,4,0,3,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E"
"9",5391,"2022..1317","..9284802790",2022-01-21,450000,2," 26 ","demo",1999,47.5513376421047,-122.365921825664,18,"SEATTLE","SF 5000","WEST SIDE ADD PLAT NO. 01",2,74000,34000,1941,0,14375,770,770,0,6,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"10",5393,"2022..1491","..7327901525",2022-01-26,437750,2,"   ","demo",1999,47.5307558499049,-122.324078743567,78,"SEATTLE","IB U/45","RIVER PARK ADD",2,40000,7900,1920,0,5000,700,580,0,4,0,3,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E"
"11",5394,"2022..1878","..2162000290",2022-01-27,2650000,3,"   ","demo",1999,47.5593999101372,-122.214452723946,34,"MERCER ISLAND","R-15","EAST MERCER HIGHLANDS ADD",2,236000,358000,1974,0,17600,3170,1470,600,10,9,4,2,5,1,2,1,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"S"
"12",5395,"2022..2585","..9367200075",2022-02-01,1600000,3,"   ","demo",1999,47.6616935015361,-122.192571749713,74,"KIRKLAND","RS8.5","WHITES HARRY 4TH ADD TO KIRKLAND",2,165000,86000,1934,1960,7500,1540,770,0,7,0,3,2,2,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,"Q"
